"date,user,Comment",user,Comment
1:58,Imobile Zr,የግለሰብን መብት ከቡድን ጋር አመጣጥኖ መውሰድ እንጂ የቡድንን ጨፍልቆ በግለሰብ መብት መተካት አሁን መሬት ላይ ባለው የማህበረሰብ እድገት ደረጃ ጦርነት መጋበዝ ነው
4:49,ABERHAM HAILU,ኮቪድ ሀገራችን ከገባ እንደዚህ አይነት ቁጥር ተመዝግቦ የሚያውቅ አይመስለኝም ነገር ግን ህዝቡ ምንም ነገር እንዳልተፈጠረ ነው እንቅስቃሴው እኔን ያልገባኝ ነገር መንግስት ምን ቸግሮት ምንስ ጎድሎት ነው ቢያንስ የአፍና አፍንጫ መሸፈኛ ማስክን አስገዳጅነት እርግፍ አድርጎ የተወው በሽታው መፍትሄ ተገኘለት እስኪባል ለአመታትስ ቢሆን ማስክ አስገዳጅ ሆኖ ቢቀጥል መንግስት ምኑ ተጎዳ ሌሎች ነገሮችን ማቅረብ ባይችል ይህን ግዴታ በፖሊስ በኩል መቆጣጠር እንዴት ተሳነውና ነው በየ ሰአቱ መርዶ የሚነግረን፡፡
7:18,ABERHAM HAILU,ይሄ ሴራ ሆን ተብሎ ቤተክርስቲያኖን ለመጉዳትና ለማዳከም እየተሰራ ያለሴራ በመሆኑ የሚመለከተው ክፍል ሊያስብበት ይገባል ፀረ ቤተክርስቲያን በዝተዋል መናፍቃኑን ቁልፍ የሆነ ቦታ በማስቀመጥ የኦርቶዶክስ አማኞችን ከስራ በማፈናቀል ልዮ ሴራ እየተሰራ ነውና ሲኖዲዮሱ ለኦርቶዶክስ አማኝ ልጆቹ ከጎን በመቆም መብታችንን ማስከበር ይኖርብናልፀፀ
7:33,Tesfaye Hailu,ፅንፈኞችን እግዚአብሄር ያጥፋልን
7:43,Gebrehana Girma,አንድ ሰው ከመጀመሪያው ክትባት በኋላ ከሶስተኛው ሳምንት በኋላ በኮረና ከተያዘ ክትባቱ የመከላከል አቅም ከሌለውና ሰውየውም በማክስ ጠንቃቃ ከሆነ የክትባቱ ጥቅም የቱ ላይ ነው ክትባቱንስ ጥያቄ ምልክት ውስጥ አያስገባውም
7:58,Ayila vilog,አሁን ያለው የኑሮ ውድነት እና ሌላውም የቤት ጣጣ ጭቅጭቅና ንትርኩ ተደምሮ አስጨንቆናል የደላቼው ስለምርጫ ያወራሉ
7:59,hezkiel taddesse,ሰልፉ ካልበረደ ያሰጋል፡፡
8:02,tenaw aynalem,አንዳንድ ህንፃ ዝናብ በጣም ሲበዛበት ቀለሙ ይገፋል ቀለሙሲለቅ ድንጋዩ ይወጣል ማንበብ ስናቆም ወደቀደመ ነገራችን ነው የምንመለሰው
8:04,Daniel Tessema,አታስከፋን ዘመዴ መራራ አርቶዶክስ ነው ያለከውን ቶል ብለህ ኤዲት አርገህ መራራ እብድ ነው ብለህ አርመው ምን ይስመስላሉ አንደው ዱርዬዋች ሲጀመር አህያ ነህ፡፡ አህያ ደግሞ ስራዋ ሸክም ነው፡፡ ስለዚህ ድርሻህን እወቅ ባንተ ቤት ለመከፋፈል ነበር፡፡ ሽንታም ዝም ማለታችን ነገን ለማየት እንጂ የነፍጠኛን ጥግ መች አጣን
8:11,hezkiel taddesse,ከኮረና የባሰ የህወሀት ጁንታ ሰው በላውን አውሬ ቢወገደ ጥሩ ነበር፡፡
